Dataset,Classifier,Metric,Standard,G-SMOTE,Proposed
Usps,RF,G-mean,0.923 $\pm$ 0.006,0.930 $\pm$ 0.006,\textbf{0.932 $\pm$ 0.006}
Waveform,DT,Accuracy,0.680 $\pm$ 0.009,\textbf{0.681 $\pm$ 0.01},0.679 $\pm$ 0.011
Waveform,DT,F-score,0.679 $\pm$ 0.009,\textbf{0.681 $\pm$ 0.01},0.679 $\pm$ 0.011
Waveform,DT,G-mean,0.755 $\pm$ 0.007,\textbf{0.757 $\pm$ 0.008},0.755 $\pm$ 0.009
Waveform,KNN,Accuracy,0.747 $\pm$ 0.009,\textbf{0.751 $\pm$ 0.014},0.739 $\pm$ 0.012
Waveform,KNN,F-score,0.743 $\pm$ 0.01,\textbf{0.749 $\pm$ 0.014},0.737 $\pm$ 0.012
Waveform,KNN,G-mean,0.808 $\pm$ 0.007,\textbf{0.811 $\pm$ 0.01},0.802 $\pm$ 0.009
Waveform,LR,Accuracy,0.830 $\pm$ 0.014,\textbf{0.845 $\pm$ 0.011},0.838 $\pm$ 0.011
Waveform,LR,F-score,0.824 $\pm$ 0.014,\textbf{0.844 $\pm$ 0.011},0.838 $\pm$ 0.011
Waveform,LR,G-mean,0.871 $\pm$ 0.01,\textbf{0.883 $\pm$ 0.008},0.878 $\pm$ 0.009
Waveform,RF,Accuracy,0.825 $\pm$ 0.014,\textbf{0.830 $\pm$ 0.013},0.826 $\pm$ 0.012
Waveform,RF,F-score,0.822 $\pm$ 0.015,\textbf{0.829 $\pm$ 0.013},0.825 $\pm$ 0.012
Waveform,RF,G-mean,0.867 $\pm$ 0.011,\textbf{0.871 $\pm$ 0.01},0.868 $\pm$ 0.009
WQ,DT,Accuracy,\textbf{0.503 $\pm$ 0.006},0.485 $\pm$ 0.01,0.486 $\pm$ 0.011
WQ,DT,F-score,\textbf{0.258 $\pm$ 0.006},\textbf{0.258 $\pm$ 0.006},\textbf{0.258 $\pm$ 0.005}
WQ,DT,G-mean,0.476 $\pm$ 0.006,\textbf{0.486 $\pm$ 0.008},\textbf{0.486 $\pm$ 0.008}
WQ,KNN,Accuracy,\textbf{0.522 $\pm$ 0.01},0.460 $\pm$ 0.007,0.468 $\pm$ 0.013
WQ,KNN,F-score,0.235 $\pm$ 0.007,\textbf{0.253 $\pm$ 0.005},\textbf{0.253 $\pm$ 0.014}
WQ,KNN,G-mean,0.453 $\pm$ 0.005,\textbf{0.489 $\pm$ 0.016},0.484 $\pm$ 0.018
WQ,LR,Accuracy,\textbf{0.550 $\pm$ 0.012},0.403 $\pm$ 0.027,0.404 $\pm$ 0.029
WQ,LR,F-score,0.199 $\pm$ 0.005,0.235 $\pm$ 0.003,\textbf{0.241 $\pm$ 0.004}
WQ,LR,G-mean,0.441 $\pm$ 0.006,0.519 $\pm$ 0.018,\textbf{0.525 $\pm$ 0.021}
WQ,RF,Accuracy,\textbf{0.582 $\pm$ 0.01},0.550 $\pm$ 0.011,0.550 $\pm$ 0.011
WQ,RF,F-score,0.265 $\pm$ 0.02,\textbf{0.284 $\pm$ 0.015},0.282 $\pm$ 0.013
WQ,RF,G-mean,0.483 $\pm$ 0.015,\textbf{0.509 $\pm$ 0.02},0.504 $\pm$ 0.014
